Id,District number,District Name,Neighborhood Number,Neighborhood Name,Street,Weekday,Weekday Number,Year,Month Number,Month,Day,Hour,Part of the Day,Cause,Cause Number,Deaths,Mild Injured,Seriously Injured,Victims,Vehicles Involved,Latitude,Longitude,Mult_Vic,Mult_Cars,Corner,Serious
2017S000612    ,10,Sant Martí,73,la Verneda i la Pau,CANTÀBRIA,Monday,1,2017,1,January,23,18,Afternoon,Not pedestrian at fault,2,0,1,0,1,3,41.424228666089036,2.1991892180675316,No,Yes,No,No
2017S002424    ,10,Sant Martí,73,la Verneda i la Pau,SANTANDER,Sunday,7,2017,3,March,26,6,Morning,Not pedestrian at fault,2,0,1,0,1,1,41.42632195764739,2.1984846892964223,No,No,No,No
2017S008874    ,10,Sant Martí,71,Provençals del Poblenou,BAC DE RODA / DIAGONAL,Tuesday,4,2017,10,October,26,21,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.40970704842178,2.205210869051492,No,Yes,Yes,No
2017S003235    ,10,Sant Martí,70,el Besòs i el Maresme,PRIM,Friday,5,2017,4,April,7,18,Afternoon,Not pedestrian at fault,2,0,0,0,0,2,41.4145425579734,2.2180438258933655,No,Yes,No,No
2017S006914    ,10,Sant Martí,70,el Besòs i el Maresme,PRIM / PUJADES,Friday,5,2017,8,August,11,15,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.41499607717765,2.2174465672247687,No,Yes,Yes,No
2017S001120    ,10,Sant Martí,71,Provençals del Poblenou,PERE IV,Friday,5,2017,2,February,10,10,Morning,Not pedestrian at fault,2,0,2,0,2,2,41.41650409221205,2.2080059260250633,Yes,Yes,No,No
2017S004843    ,10,Sant Martí,70,el Besòs i el Maresme,LLULL,Friday,5,2017,6,June,2,6,Morning,Not crossing in the zebra lines,5,0,1,0,1,1,41.413071774692035,2.217216478334312,No,No,No,No
2017S002075    ,10,Sant Martí,71,Provençals del Poblenou,SELVA DE MAR / VENEÇUELA,Wednesday,3,2017,3,March,15,8,Morning,Not pedestrian at fault,2,0,2,0,2,1,41.41121981377486,2.208733208452422,Yes,No,Yes,No
2017S008856    ,10,Sant Martí,71,Provençals del Poblenou,BAC DE RODA / DIAGONAL,Tuesday,4,2017,10,October,26,8,Morning,Disobeying the stop light,3,0,1,0,1,1,41.40981877021441,2.2047848815645947,No,No,Yes,No
2017S004209    ,10,Sant Martí,70,el Besòs i el Maresme,BOLÍVIA / MARESME,Friday,5,2017,5,May,12,0,Night,Not pedestrian at fault,2,0,2,0,2,2,41.41890565924488,2.210731398246785,Yes,Yes,Yes,No
2017S008566    ,10,Sant Martí,68,el Poblenou,CIUTAT DE GRANADA / RAMON TURRÓ,Wednesday,3,2017,10,October,18,9,Morning,Not pedestrian at fault,2,0,3,0,3,2,41.398908989230584,2.2005482883283305,Yes,Yes,Yes,No
2017S002006    ,10,Sant Martí,68,el Poblenou,LITORAL,Sunday,7,2017,3,March,12,4,Night,Not pedestrian at fault,2,0,1,0,1,1,41.396023383177,2.202539696424613,No,No,No,No
2017S004941    ,10,Sant Martí,68,el Poblenou,LLULL,Thursday,2,2017,6,June,6,9,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.39858809255941,2.1973326074578368,No,Yes,No,No
2017S002347    ,10,Sant Martí,68,el Poblenou,CIUTAT DE GRANADA / LLULL,Tuesday,4,2017,3,March,23,19,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.39841311666847,2.2003783958944347,No,Yes,Yes,No
2017S010097    ,10,Sant Martí,68,el Poblenou,BADAJOZ / ICÀRIA,Sunday,7,2017,12,December,3,13,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.396410267864745,2.20224261119576,No,Yes,Yes,No
2017S000122    ,10,Sant Martí,68,el Poblenou,GV CORTS CATALANES / RBLA PRIM,Tuesday,4,2017,1,January,5,19,Afternoon,Not pedestrian at fault,2,0,0,0,0,1,41.39772319358219,2.198107888260584,No,No,Yes,No
2017S003738    ,10,Sant Martí,71,Provençals del Poblenou,ESPRONCEDA,Tuesday,4,2017,4,April,27,10,Morning,Not pedestrian at fault,2,0,1,0,1,2,41.40923470115415,2.2029590346789147,No,Yes,No,No
2017S007503    ,10,Sant Martí,71,Provençals del Poblenou,ESPRONCEDA / PERÚ,Saturday,6,2017,9,September,9,15,Afternoon,Not pedestrian at fault,2,0,2,0,2,2,41.411708338008886,2.1994433923601466,Yes,Yes,Yes,No
2017S001061    ,10,Sant Martí,71,Provençals del Poblenou,CTRA C-31,Wednesday,3,2017,2,February,8,17,Afternoon,Not pedestrian at fault,2,0,0,0,0,3,41.417102317488,2.205203281799389,No,Yes,No,No
2017S007904    ,10,Sant Martí,71,Provençals del Poblenou,BAC DE RODA / CORTS CATALANES,Sunday,7,2017,9,September,24,9,Morning,Not pedestrian at fault,2,0,1,0,1,4,41.41345666558976,2.2000485502105653,No,Yes,Yes,No
2017S010082    ,10,Sant Martí,71,Provençals del Poblenou,CORTS CATALANES / ESPRONCEDA,Saturday,6,2017,12,December,2,13,Morning,Not pedestrian at fault,2,0,0,0,0,1,41.41287628756883,2.198452929731176,No,No,Yes,No
2017S004702    ,10,Sant Martí,71,Provençals del Poblenou,C-31,Sunday,7,2017,5,May,28,8,Morning,Not pedestrian at fault,2,0,2,0,2,2,41.413507820131905,2.199296379891685,Yes,Yes,No,No
2017S008946    ,10,Sant Martí,71,Provençals del Poblenou,BAC DE RODA / MARROC,Sunday,7,2017,10,October,29,17,Afternoon,Disobeying the stop light,3,0,1,0,1,1,41.411316490246065,2.2029430406929698,No,No,Yes,No
2017S006672    ,10,Sant Martí,71,Provençals del Poblenou,C-31,Thursday,2,2017,8,August,1,21,Afternoon,Not pedestrian at fault,2,0,1,0,1,2,41.410959169579186,2.1958632498637436,No,Yes,No,No
2017S005878    ,10,Sant Martí,71,Provençals del Poblenou,CORTS CATALANES / SELVA DE MAR,Wednesday,3,2017,7,July,5,16,Afternoon,Not pedestrian at fault,2,0,0,0,0,2,41.416033796765866,2.2026699861092585,No,Yes,Yes,No
